statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE05;Hauptschulen;BILFO1;Förderschwerpunkte;FOERD-SPR;Sprache;401;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;;Insgesamt;3856;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2003-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE11;Förderschulen;BILFO1;Förderschwerpunkte;FOERD-SEH;Sehen;4736;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2021-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;1087;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2008-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE12-15;Abendschulen und Kollegs;BILFO1;Förderschwerpunkte;FOERD-SEH;Sehen;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE04;Schulartunabhängige Orientierungsstufen;BILFO1;Förderschwerpunkte;FOERD-SPR;Sprache;692;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE06;Schularten mit zwei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;66;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2023-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE082;Gymnasien (G8);BILFO1;Förderschwerpunkte;FOERD-GST;Geistige Entwicklung;120;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2008-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE07;Realschulen;BILFO1;Förderschwerpunkte;FOERD-SOZ;Emotionale und soziale Entwicklung;387;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;;Insgesamt;BILFO1;Förderschwerpunkte;FOERD-GST;Geistige Entwicklung;67062;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2003-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE081;Gymnasien (G9);BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;38;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2010-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE03;Grundschulen;BILFO1;Förderschwerpunkte;FOERD-GST;Geistige Entwicklung;1617;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2023-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE06;Schularten mit zwei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-SPR;Sprache;3185;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2000-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE10;Freie Waldorfschulen;BILFO1;Förderschwerpunkte;FOERD-LRN;Lernen;8;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2017-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE03;Grundschulen;BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE12-15;Abendschulen und Kollegs;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2002-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE04;Schulartunabhängige Orientierungsstufen;BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;98;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2016-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-SOZ;Emotionale und soziale Entwicklung;9620;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2004-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE082;Gymnasien (G8);BILFO1;Förderschwerpunkte;FOERD-SOZ;Emotionale und soziale Entwicklung;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
