Stichtag;Geschlecht;Staatsangehörigkeit;Bundesland Schlüssel;Bundesland;Berufsabschluss;Sozialversicherungspflichtig Beschäftigte (SvB)
Jun 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Ohne Berufsabschluss;11.810
Jun 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Anerkannter Berufsabschluss;13.470
Jun 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Akademischer Berufsabschluss;8.590
Jun 25;Frauen;Ausländer;2000000;Hamburg;Ohne Berufsabschluss;15.730
Jun 25;Frauen;Ausländer;2000000;Hamburg;Anerkannter Berufsabschluss;19.950
Jun 25;Frauen;Ausländer;2000000;Hamburg;Akademischer Berufsabschluss;22.680
Jun 25;Frauen;Ausländer;3000000;Niedersachsen;Ohne Berufsabschluss;39.360
Jun 25;Frauen;Ausländer;3000000;Niedersachsen;Anerkannter Berufsabschluss;45.700
Jun 25;Frauen;Ausländer;3000000;Niedersachsen;Akademischer Berufsabschluss;28.230
Jun 25;Frauen;Ausländer;4000000;Bremen;Ohne Berufsabschluss;5.110
Jun 25;Frauen;Ausländer;4000000;Bremen;Anerkannter Berufsabschluss;5.760
Jun 25;Frauen;Ausländer;4000000;Bremen;Akademischer Berufsabschluss;4.810
Jun 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Ohne Berufsabschluss;118.860
Jun 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Anerkannter Berufsabschluss;137.590
Jun 25;Frauen;Ausländer;5000000;Nordrhein-Westfalen;Akademischer Berufsabschluss;89.720
Jun 25;Frauen;Ausländer;6000000;Hessen;Ohne Berufsabschluss;49.170
Jun 25;Frauen;Ausländer;6000000;Hessen;Anerkannter Berufsabschluss;68.160
Jun 25;Frauen;Ausländer;6000000;Hessen;Akademischer Berufsabschluss;56.470
Jun 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;22.920
Jun 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;29.690
Jun 25;Frauen;Ausländer;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;16.090
Jun 25;Frauen;Ausländer;8000000;Baden-Württemberg;Ohne Berufsabschluss;101.010
Jun 25;Frauen;Ausländer;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;149.010
Jun 25;Frauen;Ausländer;8000000;Baden-Württemberg;Akademischer Berufsabschluss;82.060
Jun 25;Frauen;Ausländer;9000000;Bayern;Ohne Berufsabschluss;97.920
Jun 25;Frauen;Ausländer;9000000;Bayern;Anerkannter Berufsabschluss;159.320
Jun 25;Frauen;Ausländer;9000000;Bayern;Akademischer Berufsabschluss;117.390
Jun 25;Frauen;Ausländer;10000000;Saarland;Ohne Berufsabschluss;5.830
Jun 25;Frauen;Ausländer;10000000;Saarland;Anerkannter Berufsabschluss;8.170
Jun 25;Frauen;Ausländer;10000000;Saarland;Akademischer Berufsabschluss;4.070
Jun 25;Frauen;Ausländer;11000000;Berlin;Ohne Berufsabschluss;24.490
Jun 25;Frauen;Ausländer;11000000;Berlin;Anerkannter Berufsabschluss;30.470
Jun 25;Frauen;Ausländer;11000000;Berlin;Akademischer Berufsabschluss;63.760
Jun 25;Frauen;Ausländer;12000000;Brandenburg;Ohne Berufsabschluss;7.010
Jun 25;Frauen;Ausländer;12000000;Brandenburg;Anerkannter Berufsabschluss;10.710
